Tytu³:;Mieszkanie 59m2, Marki ul. Szpitalna
Cena:;495 000 z³
Cena za metr kwadratowy:;8 390 z³/m
Powierzchnia:;59 m
Liczba pokoi:;2
Rynek:;wtórny
Rodzaj zabudowy:;blok
Piêtro:;2
Liczba piêter:;4
Materia³ budynku:;ceg³a
Okna:;plastikowe
Ogrzewanie:;gazowe
Rok budowy:;2015
Stan wykoñczenia:;do zamieszkania
Czynsz:;530 z³
Forma w³asnoœci:;pe³na w³asnoœæ
Informacje dodatkowe:;telewizja kablowa;internet;teren zamkniêty;domofon / wideofon;zmywarka;lodówka;meble;piekarnik;kuchenka;pralka;balkon;gara¿/miejsce parkingowe;winda;pom. u¿ytkowe
